"ResourceTypeGeneral","ResourceType","Count"
"text","we have studied the influence of extracts of seeds petals leaves and seed heads of nelumbo nucifera on the level of anxiety patterns of orientingexploratory behavior and the behavior of despair in female rats the analysis of the obtained data identified anxiolytic antidepressant and activating patterns of orientingexploratory behavior properties of biologically active substances of nelumbo nucifera the degree of expression of which depended on the type and dose of the extract it was found that the most pronounced effect of extracts on the patterns of orientingexploratory behavior and anxiety level was manifested at the doses of 100200 mgkg maximum effect on behavioral reactions and anxiety level in suoktest was typical for the extracts of lotus petals and seed heads we showed that all types of lotus extracts had an antidepressant tendency but the most pronounced properties are characteristic of biologically active substances of nelumbo nucifera seed heads the maximum effective dose was a dose of the extract of 50 mgkg key words extracts of leaves seeds seed heads and petals of nelumbo nucifera orientingexploratory behavior level of anxiety behavior of despair изучено влияние экстрактов семян лепестков листьев и коробочек лотоса орехоносного на уровень тревожности паттерны ориентировочноисследовательского поведения и поведение отчаяния самок крыс анализ полученных данных позволил выявить анксиолитические антидепрессивные и активирующие паттерны ориентировочноисследовательского поведения свойства биологически активных веществ лотоса эффективность влияния которых зависела от вида и дозы экстрактов этого растения установлено что наиболее выраженное действие экстрактов на паттерны ориентировочноисследовательского поведения и уровня тревожности крыс происходило при дозах экстрактов 100200 мгкг максимально эффективное влияние на поведенческие реакции и уровень тревожности в суоктесте было характерно для экстрактов лепестков и коробочек лотоса показано что все виды экстрактов лотоса снижали поведение отчаяния при этом более выраженные свойства характерны для биологически активных веществ коробочек лотоса наиболее значимой оказалась доза экстракта  50 мгкг ключевые слова экстракты листьев семян коробочек и лепестков лотоса орехоносного ориентировочноисследовательское поведение уровень тревожности поведение отчаяния",1
"text","we have used surgical specimens to perform a differential analysis of the transcriptome of human retinal tissues following detachmentdata analysis reveals major involvement of the immune response in the disease and interindividual variation was monitored to unravel a second crucial aspect of the pathological process the death of photoreceptor cellsoverall design in total 38 surgical specimens samples were analyzed 19 represent biopsies from patients with retinal detachment rd and 19 represent contral samples without retinal detachment",1
"text","we hypothesize that different emotional tears positive or negative emotions contain distinct substances which may be the basis of chemosignal for tearing the present study seeks to address the biochemical story behind emotional tears by nontargeted metabolomics analysis between positive and negative emotional tears of humans and discovering biomarkers of emotions via bioinformatic identification",1
"text","we identified a novel de novo heterozygous nonsense variation of kdm5c c3533ca ps1178x in a sporadic 4yearold chinese girl",1
"text","we identified guildlevel signature for dkd by conducting clinical risk assessments on 116 dkd patients and 91 healthy subjects and performed indepth metagenomic sequencing and genomecentric and guildbased analysis on their fecal samples",1
"text","we identified seven cell types in the plume and further characterized their biological functions we discovered hemocyte cells responsible for oxygen transporting and observed distinct overexpression of specific transporters in different cell types crucial immunerelated genes such as mfge8 fut8 and plg were identified for triggering immune response against bacteria and facilitating the removal of apoptotic cells additionally kegg analysis revealed that pxn and drk play important roles in multiple immune processes",1
"text","we improved the tagmentationbased whole genome bisulfite sequencing technology enabling stable library construction with complexity from minimally 05ng of initial genomic dna which equals less than 100 cells this new approach is highly attractive for the complete methylome analysis of very limited cell numbers eg preimplantation embryos or tiny biopsy specimensoverall design applying this newly modified twgbs we sequenced the methylome of a rice strain using libraries constructed from 10 ng 1 ng and 05 ng of input genomic dna two libraries were independently constructed and sequenced for each aliquot of input genomic dna",1
"text","we introduced a new method to resequence the exome of nonhuman primates nhp species by a designed capture approach specifically targeted to the nhp",1
"text","we introduced a new method to resequence the exome of nonhuman primates nhp species by a designed capture approach specifically targeted to the nhp and demonstrate its superior performance on four nhp species or subspecies",1
"text","we investigate alterations to gene expression in response to cold stress and no in c sinensis pollen tubes using rnaseq technology to identify the genes involved in the regulation of pollen tubes by no under lowtemperature stress",1
"text","we investigate pathogenic mutations in early embryonic arrest",1
"text","we investigated 14 patients with advanced nonsmall cell lung cancer who had transformed into small cell lung cancer14 tumor samples from 7 patients including nsclc and sclc samples from each patient were sequenced to analyze gene changes before and after transformation",1
"text","we investigated the  interaction mechanism at the atomic and molecular levels for tio2 nanolayer and dna by using molecular dynamics simulation and other methods at the same time experimental methods such as atomic force microscopy adsorption and desorption experiments etc were used to verify the simulation results and further study the adsorption mechanism in the complex system of dna and tio2 this project will expand the scientific understanding of the interaction mechanism between tio2 and dna at the multimaterial interface and the research results can be applied to gene sequencing",1
"text","we isolated and cultured a strain of ruminococcus gnavus rg1186 from a fecal sample of a healthy volunteer from shenzhen china",1
"text","we isolated and cultured cd34positive and cd34negative cells from the knee synovium of patients with synovial chondromatosis sc bulk rna sequencing was applied to the two types of cells",1
"text","we leveraged an integrated multiregional and multidimensional approach to dissect the genomic transcriptomic epigenomic and spatial landscape of ccrcctt using deep wholegenome wgs scrnaseq singlenucleus assay for transposaseaccessible chromatin snatacseq and spatial enhanced resolution omics stereoseq sequencing",1
"text","we made a comprehensive largescale evolutionary analysis of all subtilases and found their presence in earlier streptophytes",1
"text","we performed a metagenomic deep sequencing from 47 freely grazing tibetan pigs tps and recovered 8210 highmedium mags from pig gut microbiota by integrating published gut metagenomes from 287 lowaltitude captive pigs 87 from china cps and 200 from europe eps we discovered distinct diversity and functional profiles of gut microbiota in tibetan pigs compared to both cps and eps",1
"text","we performed a multiomics investigation to explore the variations in gut microbiota liver lipid metabolism egg quality and associations among them induced by dietary mf in laying hens",1
"text","we performed a study of bacteria cultivation and genome sequencing along with deeply metagenome sequencing of 14 fecal samples from weanling piglet 266 cultured genomes and 482 metagenomeassembled genomes mags were collected and clustered to 428 species across 10 phylum in this work genomic dna of the 226 represent strains were extracted the draft genomes were sequenced for 100 bp pairedend on dnbseqt7 platform the raw reads were filtered using soapnuke after preliminary judgment of the genome size based on kmer spades was used to assembly metagenomic dna of 14 samples were extracted and sequenced on dnbseqt7 platform cnp0002075 idbaud were used to assembly and merge the optimal contig mags were generated using three different tools configured in the binning module of metawrap",1
"text","we performed a study of bacteria cultivation and genome sequencing along with deeply metagenome sequencing of 14 fecal samples from weanling piglet metagenomic dna of 14 samples were extracted and sequenced for 100 bp pairedend on dnbseqt7 platform",1
"text","we performed a study to examine the impact of three carbapenems meropenem imipenem and ertapenem at a singleday dose which is typically used in emergency department for patient management on crkp gut colonization we intravenously administered each carbapenem with humansimulated oneday regimens to mice we characterized the gut microbiota using 16s rdna amplicon sequencing before and after carbapenem use",1
"text","we performed assay for transposaseaccessible chromatin with highthroughout sequencing atacseq to explore the difference of chromatin accessibility in ds derived aminocytes dsacs versus normal",1
"text","we performed cytometry by timeofflight cytof analyses to characterize the distinct immune compositions of hcc tumors tumor borders and hepatic hemangioma hh tissues the associations between different immune subsets and hcchbv related clinical characteristics were also analyzed we further combined multiplex immunohistochemistry flow cytometry tetramer staining and rnasequencing to interrogate and verify the phenotypes and functionalities of the identified immune subsets associated with hbvrelated clinicopathological features and hcc",1
"text","we performed global gene expression analysis comparing male and female embryos using singlecell rnasequencing data of 1607 individual cells from 99 human preimplantation embryos covering development stages from 4cell to late blastocyst e2 to e7",1
"text","we performed largescale rnaseq sequencing on the plants of g11 mutation accumulation ma lines and g27 ma populations from heat b27r e11r warming c27r f11r control a27l d11l groups and three ancestor plants g01 g02 g03 all sequenced plants were grown in control temperature for minimizing the transient expression changes caused by direct exposure to stress",1
"text","we performed largescale wholegenome bisulfite sequencing wgbs on the genomes of g11g12  mutation accumulation ma lines and g27g28 ma populations from heat b27r b28r e11r e12r warming c27r c28r f11r f12r control a27l d11l d12l groups and three ancestor plants g01 g02 g03 all sequenced plants were grown in control temperature for minimizing the transient epigenetic changes caused by direct exposure to stress",1
"text","we performed metabolome sequencing for 20 neonatal right ventricles from rats that underwent sham or pulmonary artery banding surgery",1
"text","we performed single cell and spatial transcriptome sequencing of skin tissue from psoriasis patients",1
"text","we performed singlecell assay for transposase accessible chromatin scatac and rna scrna sequencing seq on peripheral blood mononuclear cells pbmcs from covid19 severely illcritical patients scps moderate patients mps and healthy volunteer controls hcs",1
"text","we performed singlecell rnasequencing scrnaseq on  seven mpe samples and eight osteosarcoma tumor tissues to characterize the tumor microenvironment tme of advanced osteosarcoma patients ",1
"text","we performed transcriptomefocused multiomics analyses including transcriptomics dna methylation proteomics and singlecell transcriptome sequencing on healthy individuals aged 23 to 88 years we systematically analyzed linear and nonlinear changes in gene expression throughout aging",1
"text","we performed whole genome sequencing at high depth 80x of 90 unrelated individuals of chinese ancestry collected from the 1000 genome project samples including 45 north han chinese and 45 south han chinese samples 83 of these 90 have been sequenced by the 1000 genomes project we have identified 12568804 single nucleotide polymorphisms and 2074210 short indels from these 90 samples",1
"text","we performed wholeexome sequencing rna sequencing and immunohistochemistry profiling on 46 pairs of pscce and matched normal samples",1
"text","we picked 76 bacterial strains belonging to 5 phyla from cgr2 project genome sequencing by bgi500 produced highquality genome reads and finally we acquired genome assemblies by bioinformatic softwares",1
"text","we present a highly continuous genome assembly of b multicinctus the genome size of b multicinctus is 151gbtable 1 the maximal length of scaffold is 3968m and the n50 length is 655m the b multicinctus has a gc content of 378",1
"text","we present the first report to compare the wgs 22x and wes sequencing data of the genolab m sequencer to novaseq 6000 33x and nextseq 550 platform in various types of analysis",1
"text","we present the transcriptomic data of six mature ovary and six mature testis samples from roughskin sculpin",1
"text","we presented the mallard and the spotbilled genomes and performed wholegenome sequencing on eight domestic duck breeds and eight wild duck species",1
"text","we profled 33589 cell transcriptomes in 14 samples from 11 gastric cancer patients 4 pretreatment samples 4 posttreatment samples and 3 prepost pairs using singlecell rna sequencing scrnaseq to 
generate the cell atlas",1
"text","we provided a male assembly of ornithorhynchus anatinus using pacbio sequencing and hic from dovetail platform",1
"text","we randomly assigned 920 patients with stable angina on canadian cardiovascular society ccs class iiiii to be intravenously infused with 14day dhi or placebo 09 saline in an adaptive multicenter randomized doubleblind trial both groups received optimal medical therapy as recent guideline advocated the primary outcome was the proportion of patients who had a clinically significant improvement on the seattle angina questionnaire saq anginafrequency scale at day 30 the profiles of microrna and mrna in 62 patients from 2 selected centers were obtained by highthroughput sequencing to reveal the mechanism of dhi for chronic stable angina",1
"text","we reassembled the genome of the longhorned tick haemaphysalis longicornis based on the published but highly redundant version it is a livestock pest widespread in east and central asia oceania and north america it parasitizes mammals and birds transmits pathogens associated with several tickborne diseases and is also the vector of oriental theileriosis",1
"text","we report sccatseq a technique for simultaneous assay of chromatin accessibility and transcriptome within the same single cell by applying sccatseq to different cancer cell types we identified transfactors as bridges linking accessibility variation of cisregulatory elements to celltypespecific gene expression across single cells we further characterized subpopulations within cancer cells and uncovered the regulatory clues that drive transcriptional heterogeneity",1
"text","we report sccatseq a technique for simultaneously assaying chromatin accessibility and the transcriptome within the same single cell by applying our integrated approach to multiple cancer cell lines we discovered genomic loci with coordinated epigenomic and transcriptomic variability in addition decomposition of combined singlecell chromatin accessibility and gene expression features by a nonnegative matrix factorization nmf based method identified signatures reflecting cell type specificity and revealed a profound regulatory relationship between the two layers of omics we further characterized subpopulations associated with distinct regulatory patterns within patientderived xenograft models and discovered epigenomic and transcriptomic clues that drive tumor heterogeneity the ability to obtain these two layers of omics data will help provide more accurate definitions of single cell states and enable the deconvolution of regulatory heterogeneity from complex cell populations",1
"text","we report the first host genetic study in china by deeply sequencing and analyzing the 217 h7n9 patients and 116 controls this initial study provides compelling evidence for a monogenetic etiology of severe influenza
 here the statistical information of genetic polymorphisms and  genomewide association summary statistics data will be stored 
 在这里我们存放基因组变异统计信息和人群全基因组关联研究的统计结果本结果不包含任何个体数据仅保留群体分析后的统计结果",1
"text","we report the first host genetic study in china by deeply sequencing and analyzing the 217 h7n9 patients and 116 controls this initial study provides compelling evidence for a monogenetic etiology of severe influenza here raw sequencing  data will be stored",1
"text","we report the first host genetic study in china by deeply sequencing and analyzing the 332 covid19 patients categorized by varying levels of severity from the shenzhen third peoples hospital this initial study of chinese patients provides a comprehensive view of the genetic difference among the covid19 patient groups
here the sequencing data of this project will be stored
在这里我们存放研究项目的原始测序数据这些数据不会公开",1
"text","we report the first host genetic study in china by deeply sequencing and analyzing the 332 covid19 patients categorized by varying levels of severity from the shenzhen third peoples hospital this initial study of chinese patients provides a comprehensive view of the genetic difference among the covid19 patient groups 
 here the statistical information of genetic polymorphisms and  genomewide association summary statistics data will be stored 
 在这里我们存放新冠肺炎患者人体基因组的群体基因多态性统计信息和人群全基因组关联研究的统计结果本结果不包含任何个体数据仅保留群体分析后的统计结果",1
"text","we report the first host genetic study in china by deeply sequencing and analyzing the 34 low responders and 77 controls here the raw sequencing data will be stored",1
"text","we report the single cell rna sequncing  study  of colon cecum peripheral blood bone marrow for germfree gf mice and specificpathogenfree spf mice here raw sequencing  data will be stored",1
"text","we reported the transcriptomic profiling of a total  of 29967 single cells of human gingival tissues from 2 patients with periodontitis and 2 healthy  donors we identified specific epithelial cell types associated with compromised epithelial defense in periodontitis we detected endothelial cells highly associated with immune regulation and fibroblasts potentially involved in bone remodeling we revealed the myeloid cells with diverse clusters dominated by proinflammatory phenotype we further identified cell subtypes specifically expressing periodontitis related genes and investigated the cellcell communication alteration between conditions",1
"text","we sequenced 271 genomes of diaphanosoma dubium the samples were collected from 34 locations reflecting a diverse range of
biogeographical regions in china",1
"text","we sequenced 5 fanconi anaemia affecting families",1
"text","we sequenced and analyzed scrnaseq of gastruloids",1
"text","we sequenced mrna from mature ovules and fully expanded leaves of female g biloba to generate a comprehensive gene expression profile these results provide valuable gene expression information which will contribute to facilitate our understanding of various biological mechanisms between ovules and leaves and uncover a more important molecular insight toward ovule evolution in early seed plants",1
"text","we sequenced rhodiola crenulata rnaseq data",1
"text","we sequenced the collected taxillus chinensis on a star fruit tree in danzhou hainan province we used illumina to measure the genome coverage of 100x of the taxillus chinensis we also analyzed the mixed stems stems leaves and leaves near and far from the parasitic sites of thetaxillus chinensis at the same time transcriptome sequencing was performed on the mixed stems of the parasitic site the stems and leaves closer to the parasitic site and the stems and leaves farther away in addition in order to further understand the communication between proteins the proteins in the roots stems and leaves of taxillus chinensis were detected",1
"text","we sequenced the dna from tuber of potato dm 13 516 r44 and assembled the genome using soapdenovo dm 13 516 r44 resulted from chromosome doubling of a monoploid derived by anther culture of a heterozygous diploid clone pi 225669 selected from the longday adapted population of s tuberosum phureja and stenotomum groupspotato belongs to the asterid clade of eudicot plants that represent 25 of flowering plant species and from which a complete genome sequence is not yet published  its worldwide importance especially within the developing world is growing rapidly with production in 2009 reaching 330 million tons the tubers are a globally important dietary source of starch protein antioxidants and vitamins serving the plant as both a storage organ and vegetative propagation system despite their importance the evolutionary and developmental mechanisms that lead to the initiation and growth of tubers remain elusivethe cultivated potato is considered to have a narrow genetic base resulting originally from limited germplasm introduction to europe most potato cultivars are autotetraploid 2n4x48 highly heterozygous suffer acute inbreeding depression and are susceptible to many devastating pests and pathogens to explore potato genome structure and organisation nuclear and organellar genomes of dm potato variety have been sequenced employing a whole genome shotgun sequencing wgs approach assembled using soapdenovo",1
"text","we sequenced the eggplant tree for chromosomelevel genome assembly the  sequencing technologies included smrtsinglemolecule realtime smrt sequencing nanopore shortread pairedend sequencing mgiseqand hic technology phase genomics inc",1
"text","we sequenced the genome sequence of  monascus ruber strain fm397 an isolate from fermented rice",1
"text","we sequenced the transcriptome of skin muscle liver and gill tissues of boleophthalmus pectinirostris",1
"text","we sequenced the transcripts of skin from ten polypedates megacephaluspooled male and female",1
"text","we sequenced the transcripts of venom gland from mesobuthus martensii",1
"text","we sequenced the wgs of the woody plant prunus mume",1
"text","we sequenced the whole genomes of 112 yao individuals sampled from 3 distant districts denoted as hzy tdy and jxy at an average fold coverage of 103",1
"text","we sequencted the polyploid crop brassica napus not only because of the importance for crop itself but also being useful for the study of polyploid",1
"text","we should not be ignored in clinical and genetic diagnosis of the disease",1
"text","we showed that cmyc greatly improved the transdifferentiation efficiency for hepatoblastlike cellshlcs  from human umbilical cord mesenchymal stem cellshumscs chipseq and rnaseq were integrated to reveal the potential molecular mechanisms underlying cmycmediated reprogramming",1
"text","we studied shortterm effects of preoperative antibiotics on the intestinal microbiota of three undergone thyroidectomy patients who were treated with a dose of cephazoline preoperative and a patient who was not treated",1
"text","we studied the impact of oxygen conditions mimicking the ocular surface and intraocular in a strain of s epidermidis by transcriptomics and metabolomics",1
"text","we submitted nearly 3000 whole exome sequencing samples  the processes of dna extraction purification fragment hybridization library construction and sequencing were performed at the beijing genomics institute bgi  following the manufacturers instructions briefly the qualified genomics dna sample was randomly fragmented by covaris technology and the size of the library fragments between 150bp and 250bp were got dna fragments were hybridized to the exome array agilent v5 kit for enrichment and the captured library was then loaded on bgiseq500 sequencing platforms to perform highthroughput sequencing at the bgi finally 100bp reads were generated and the mean coverage was approximately 125",1
"text","we suggest that our mitogenome capture approach coupled with pcrfree shotgun sequencing could provide ecological researchers an efficient ngs method to deliver reliable biodiversity assessment",1
"text","we took muscle tissue from the longissimus dorsi muscle and intramuscular adipose tissue from two large white pigs and three chouxiang black pigs for singlecell rnaseq analysis using microfluidic techniques with two replicates from one individual chouxiang black pig in this study 5 boars are used and raised in the same environment with the same feeding conditions longissimus dorsi form these pigs are collected form the same position of thoracolumbar junction single cell is captured on a microwell chip and nucleic acidmodified beads are used to molecularly label mrnas from different cells and finally constructed a highthroughput singlecell transcriptome library novaseq 6000 sequencer is used to sequencing",1
"text","we treated soybean nodules with 500 ppm ethylene gas for 6 hours and sequenced three samples of soybean nodules treated and untreated with ethylene",1
"text","we try to establish a standardized practices for rna diagnostics using clinically accessible whole blood we evaluated the two protocols ribominus and the modified polya by comparing the expression profiles and alternative splicing events of omim genes in clinical settings where rna samples were collected primarily from patients whose whole genome data were also obtained",1
"text","we uncovered the connection between epigenetic modifications and 3d nuclear architecture after salt stress by integrating hic chipseq methylseq and rnaseq data we observed dynamic reorganization of higherorder chromatin structure at multiple hierarchical scales and changes of the epigenetic modifications after salt stress our results indicated that epigenetic modifications and 3d chromosomal structure changes induced synergistic effect on salt tolerance of cotton through activating the ion transport oxidation resistance autophagy energy metabolism and secondary metabolites biosynthesis pathways",1
"text","we used coculture methods with laboratory experimental evolution and wholepopulation genome sequencing techniques to investigate the development of b subtilis in the presence of aspergillus niger",1
"text","we used illumina platform to carry out transcriptome highthroughput sequencing on black tibetan heart tissues at embryonic lamb and adult stages to explore core regulatory genes of heart development there were three biological replicates per developmental period",1
"text","we used illumina platform to carry out transcriptome highthroughput sequencing on black tibetan lung  tissues at embryonic lamb and adult stages to explore core regulatory genes of lung development there were three biological replicates per developmental period",1
"text","we used pacbio sequencing and hic data to assemble the highquality genomes of c molitorella the evolutionary history of c molitorella was studied by inferring dynamic change of ancestral population sizes the genetic basis of adaptation in c molitorella was dissected by performing gene family expansion and contraction analysis and identifying positively selected genes psgs additionally the genetic basis of filterfeeding habit was elucidated by comparative genomic analysis among three algaeeating two herbivorous and three omnivorous fish species",1
"text","we used single cell sequencing to disclosed the evolutionary and lymph node metastasis of breast cancers and explored the molecular mechenism of breast cancer metastasis",1
"text","we used singlecell sequencing to determine the developmental characteristics of fetal cerebellum and the heterogeneity of pediatric medulloblastomaand highlighted the distinct human fetal cerebellar development program and reveal the tumoral alteration",1
"text","we used singlecell sequencing to determine the heterogeneity of pediatric ependymoma and provided basic research for the clinical treatment of pediatric ependymoma",1
"text","we used targeted ngs to detect diseasecausing mutations for the clinical diagnosis of 561 mendelian diseases",1
"text","we used the illumina platform to sequence polya selected and rrnadepleted rna from large numbers hundreds of wildcaught drosophila to survey the presence of viral sequences and to assemble new virus genomes we targeted d obscura d subobscura d tristis d subsilvestris d immigrans in the united kingdom and scaptodrosophila deflexa in france",1
"text","we used wholegenome sequencing to determine the mutation and dna copy number landscape of 26 human colorectal cancer organoids we show that genetic alterations in human colorectal cancer organoids reflect the genetic heterogeneity of primary colorectal cancers as reported by the cancer genome atlas tcga network",1
"text","we used wholegenome sequencing to determine the mutation and dna copy number landscape of human colorectal cancer organoids and matched original tumours we show that genetic alterations in human colorectal cancer organoids resemble those of the original tumour tissues",1
"text","we want to find some pathogenic viruses from the bos grunniens fecal sample",1
"text","we want to find some pathogenic viruses from the swine fecal sample",1
"text","we want to study the virulence and antibiotic resistance of staphylococcus aureus lctsa112 for clinical application",1
"text","weaning piglet transcriptome",1
"text","webinar",1
"text","website article",1
"text","weedy rice oryza sativa spp is an invasive paddy weed known for traits like shattering dormancy and robust competitiveness threatening rice production yields recently many presentday asian weed strains are evidenced to have originated from a handful of green revolution cultivars of the late 20th century in this project we sequenced the genomes of recently feralized weedy rice from east china eastcnwr to dissect its genomic mechanisms for adaptation",1
"text","weizenbaum policy paper",1
"text","weizenbaum series",1
"text","welsh word list",1
"text","welwitschia mirabilis which is endemic to the namib desert is the only living species within the family welwitschiaceae",1
"text","werkverzeichnis",1
"text","wes",1
"text","wes in trios inclduing the fetus and parents",1
"text","wes of h520 tumor samples injected with control and mecomko apcs",1
"text","wgbs of anabaena sp pcc 7120 under nitrogen starvation",1
"text","wgbs of synechocystis sp pcc 6803 under butanol acclimation",1
"text","wgbs of synechocystis sp pcc 6803 under nitrogen starvation",1
"text","wgs and wgbs of prostate cancer bone metastasis",1
"text","wgs de novo assembly of a single genotype from illumina paired end reads",1
"text","wgs of 100 rils in watermelon",1
"text","wgs of 2 individuals",1
"text","wgs of plectropomus leopardus fin ray  12 months individual",1
"text","wgs of plectropomus leopardus fin ray  adult individual",1
"text","wgswes技术应用于超声异常胎儿的辅助诊断",1
"text","when patients present with night blindness impaired vision and hypogonadotropic hypogonadism the possibility of boucherneuhauser syndrom should be considered and gene sequencing is the main diagnostic method at present here novel compound heterozygous variants of pnpla6 was identified in a bns patient with functional validation at rna level the variant nm0067024c2241del was novel and likely pathogenic which expanded the mutation spectrum of pnpla6",1
"text","whereas evidences of singlecell studies have suggested the cellular diversity of medulloblastoma the most common malignant brain tumor in childhood the understanding of spatial status for specific cell populations remains rudimentary herein we comprehensively analyze singlenucleus rna expression   chromatin   accessibility   and   spatial   transcriptomic   profiling   from   51   human medulloblastomas spanning four molecular subgroups complemented with the bulk whole genome and rna sequencing data across 334 human samples we interrogated the malignant compositions including the progenitor cycling and more differentiated subpopulations gene signatures strongly correlating  to  clinical  outcomes  further  we  spatiotemporally  described  the  developmental trajectories from initial root cells to mature stations through medulloblastoma transitional progenitors which  presented across all the subgroups to better implicate the spatial architecture of local environment harmony alignment revealed that nichedependent cell distributions were recapitulated by arrangements of the identified lineage states and inflammatory or fibrotic adaptions through regionally  deciphering  the  copy  number variations  and  transcriptional  programs  at  singlecell resolution  we  indepth  characterized  the  cohesive  subclones  according  to  tumor  individuals demonstrating that medulloblastoma resided with enormous genetic heterogeneity altogether our findings  gather  insights  into  transcriptome  and  epigenome  of  medulloblastoma  progenitor subpopulations   predisposed   to   transition   along   the   evolutionary   continuum   providing   a spatiotemporal perspective to mechanistic and therapeutic advances of pediatric neurooncological disorder",1
"text","white leghorn embryonic gonadal transcriptome data",1
"text","white paper on a design and innovation process model",1
"text","whole exome of esophageal cancer",1
"text","whole exome sequencing of a family with developmental disorders in children",1
"text","whole exome sequencing of esophageal cancer",1
"text","whole exome sequencing was performed to identify the somatic alterations in the formalinfixed paraffinembedded tumor sample from a renal squamous cell carcinoma patient showing a total of 317 snvs located within 305 genes",1
"text","whole exome sequencing wes has been widely used in human genetics research bgiseq500 is a recently established nextgeneration sequencing platform the performance of bgiseq500 on wes is not well studied in this study we evaluated the performance of bgiseq500 on wes by comparison with hiseq 4000 on wellcharacterized human sample na12878",1
"text","whole exon sequencing of a chinese child",1
"text","whole genome and whole exome of esophageal cancer",1
"text","whole genome data of escherichia coli klebsiella pneumoniae proteus mirabilis enterococcus salmonella and staphylococcus squirrel in rhesus monkeys and the environment",1
"text","whole genome de novo sequencing of columba livia",1
"text","whole genome detection of inversions and phase variation in 3 e coli strains",1
"text","whole genome low coverage sequencing for 570 clinical samples from four tertiary referral centres in china and hong kong from january 2013 to march 2015 including 198 abortuses 35 stillbirths 151 prenatal samples and 186 postnatal samples",1
"text","whole genome lowcoverage pairedend sequencing of 18 samples",1
"text","whole genome resequence and population genetics analysis of yao population",1
"text","whole genome resequencing of 113 pear accessions representing primary wild and cultivated species from worldwide collections",1
"text","whole genome resequencing of farmed largemouth bass",1
"text","whole genome resequencing of four individuals",1
"text","whole genome sequence of esbl escherichia coli isolated from sichuan largescale farms and smallholder farming pigs",1
"text","whole genome sequence of fluoribacter dumoffii strain ny 23 atcc 33279",1
"text","whole genome sequence of fluoribacter dumoffii strain texkl atcc 33343",1
"text","whole genome sequence ofrabbit hemorrhagic diseasee virus type 2rhdv2 extracted from 30dayold rabbit tissue",1
"text","whole genome sequencing and assembly of ossabaw pig",1
"text","whole genome sequencing and denovo assembly of hulless barley",1
"text","whole genome sequencing and sanger sequencing in a trio with the child proband of extremely rare spherocytosis with atrial septal defect identified a de novo heterozygous deletion c1756delg in sptb gene in the proband",1
"text","whole genome sequencing and single cell sequencing of glioma",1
"text","whole genome sequencing for oat",1
"text","whole genome sequencing of c",1
"text","whole genome sequencing of cd19 selected bone marrow lymphoplasmacytic cells from 30 patients with waldenströms macroglobulinemia with paired cd19 depleted peripheral blood mononuclear cells for for 10 of these",1
"text","whole genome sequencing of ceu utah residents with ancestry from northern and western europe  ceph  hapmap population",1
"text","whole genome sequencing of five pairs of childhood preb cell acute lymphoblastic leukemiafor identifing the wholegenomic variations",1
"text","whole genome sequencing of hepatocellular carcinoma hcc and portal vein tumor thrombosis pvtt",1
"text","whole genome sequencing of khv kinh in ho chi minh city vietnam dna for sequencing was extracted from whole blood",1
"text","whole genome sequencing of khv kinh in ho chi minh city vietnam hapmap population from primary blood",1
"text","whole genome sequencing of kryptopterus bicirrhis",1
"text","whole genome sequencing of mab malawian in blantyre malawi hapmap population",1
"text","whole genome sequencing of pur puerto rican in puerto rico hapmap population dna for sequencing was extracted from whole blood",1
"text","whole genome sequencing of rdh reddy in hyderabad india hapmap population",1
"text","whole genome sequencing of rehmannia chingii",1
"text","whole genome sequencing of six arctic shorebird species",1
"text","whole genome sequencing of small mammals in china",1
"text","whole genome sequencing of the capra aegagrus",1
"text","whole genome sequencing of yinshania wilsonii and resequencing of yinshania species",1
"text","whole genome shoutgun sequence and the assembly of macrotermes natalensis",1
"text","whole genomewide sequence and transcriptome data of threeway cross hybrid abalone",1
"text","whole genomic sequence and analysis of myotis brandtii",1
"text","whole geome sequencing of esophageal cancer",1
"text","whole human genome sequencing initiatives provide a compendium of human genetic variants that help us understand human and population history and the basis of genetic diseases current data mostly focuses on old world populations and information on the genomic structure of native americans especially those from the southern cone is scant we present here a high quality complete genome sequence of a cohort of 11 mapuchehuilliche individuals hui from southern chile this cohort represents a marginally admixed native american population from the southern cone that contributes to understanding the genetic structure of the contemporary admixed chilean latino population harboring a significant mapuchehuilliche genetic component the high quality hui genomes reported here should become a resource to help the international community in future genetic studies in modern native american or admixed latin populations with native american ancestry",1
"text","whole transcriptome sequencing data of accessory gonad tissue in eriocheir sinensis",1
"text","whole transcriptome sequencing data of adult and juvenile testicular tissues in eriocheir sinensis",1
"text","whole transcriptome sequencing data of exosomes from adult eriocheir sinensis",1
"text","whole transcriptome sequencing data of hepatopancreas in eriocheir sinensis",1
"text","whole transcriptome sequencing data of ovarian exosomes in adult eriocheir sinensis",1
"text","whole transcriptome sequencing data of ovarian tissue of adult and juvenile crabs in eriocheir sinensis",1
"text","whole transcriptome sequencing data of the testis tissue in precocious eriocheir sinensis",1
"text","whole transcriptome sequencing in 31 endometrial stromal sarcomas 18 uterine leiomyosarcomas 3 adenosarcomas and 2 carcinosarcomas",1
"text","wholeexome sequencing of hg001 on multiple sequencing platforms",1
"text","wholegenome sequencing combining prenatal ultrasound in the evaluation of fetal cns structural anomalies",1
"text","wholegenome sequencing for acipenser sinensis with complex genome",1
"text","wissenschaflicher artikel",1
